순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
55,9791168120327,104427776,월급쟁이 부자의 머니 파이프라인,"14,850원",820원,루지 저,위즈덤하우스,"평범한 직장인을 5년 만에 100억 자산가로 만든 ‘5가지 머니 파이프라인’ 대한민국 평범한 직장인이었던 저자는 재테크를 시작한 지 5년 만에 총자산 100억 원을 일구었다. 보통의 직장인이 상상도 하기 힘든 100억 원을 도대체 어떻게 만든 걸까? 그 비결은 ‘잠든 사이에도 돈이 돈을 버는 시스템’ ‘머니 파이프라인’을 구축한 데 있다. 저자는 근로소득, 콘텐츠 소득, 사업소득, 부동산소득, 주식 배당소득 총 5개의 파이프라인으로 빠르고 안전하게 자산을 불려나갔다. 월급쟁이가 돈을 불리는 데에는 분명한 전략과 과정이 있다! 이 책에는 평범한 직장인이 부자의 마인드를 체득해 내 집을 마련하고, 자산을 형성하고, 자산과 함께 성장해나가는 전 과정이 담겨 있다. 점점 더 커지는 부의 격차를 바라보며 언제까지 신세 한탄만 하고 있을 것인가? 저자의 성공 방식을 따라 하면, 당신도 수십 억 자산을 일굴 수 있다.",2,국내도서-경제 경영
56,9791187799177,103154621,아파트 청약 이렇게 쉬웠어?,"16,200원",900원,김태훈 /송희창(송사무장),지혜로,"청약 최고수를 만난 수천 명에게 집이 생겼다! 가점이 낮아도, 이미 집이 있어도, 운이 없어도 청약에 당첨될 수 있는 실전 노하우 대공개! 누구나 청약에 당첨되고 싶어 한다. 하지만 돈이 없어서, 가점이 낮아서, 운이 없어서 포기하는 사람들이 대부분이다. 저자는 그들에게 말한다. 그것들은 모두 편견이라고! 청약은 분양가의 10%만 있으면 새 아파트를 분양받을 수 있기 때문에 투자금이 적게 들고, 각 개인의 상황에 따른 투자 방법을 선택한다면 가점이 낮아도 상관없다. 무엇보다, 청약은 운이 아닌 노력과 전략을 통해 당첨되는 것이다. 집값이 천정부지로 오르고 있는 대한민국에서, 더 이상 청약은 선택이 아닌 필수다! 평범한 직장인에서 청약 최고수가 될 수 있었던 저자는 지금까지 수천 명이 넘는 사람들에게 청약을 통해 내 집 마련의 꿈을 이루게 해주었다.",1,국내도서-경제 경영
57,9791157845446,104661549,비겁한 돈,"14,400원",800원,황현희/제갈현열,한빛비즈,"이미 일찌감치 완전한 경제적 독립을 이루어, 아는 사람들 사이에서는 투자 실력자로 알려진 황현희. 그가 개그맨이 아닌 투자가로서 최초로, 전문가들도 놀라며 고개를 끄떡이게 만든 투자의 황금 원칙을 풀어낸다. 이 책의 핵심 키워드는 ‘비겁함’과 ‘쉼’이다. 첫째, 자신의 실력보다 더 많이 벌고 싶은 ‘비겁한’ 마음을 인정할 것. 둘째, 그러기 위해 투자물의 빅사이클을 이해하고 자신의 투자에 ‘쉬는 기간’을 둘 것. 특히 ‘쉼’은 너무나 필수이지만 그동안 누구도 권하지 않고, 지켜지지 않았던 원칙이다. 당신도 이 책을 덮을 때쯤이면 “지금 당장 투자에서 손을 떼라”는 도발적인 주장에 설득될 수밖에 없을 것이다.",1,국내도서-경제 경영
58,9791170432661,105002693,마법의 재건축 투자,"16,200원",900원,김선철,원앤원북스,"6개월 만에 수익률 367% 달성! 재건축의 새로운 투자 방식으로 미래의 부를 축적하라! ‘투자’를 해봐야겠다고 생각하는 사람이라면 가장 먼저 부동산 투자를 떠올릴 것이다. 그만큼 부동산은 우리에게 가장 익숙하면서도 쉽게 접근할 수 있는 분야다. 그런데 어떤 부동산을 선택해야 하고 어떻게 투자해야 할지 아는 사람은 많지 않다. 저자는 재건축 투자가 적은 투자금으로도 높은 수익률을 올릴 수 있는 ‘부를 축적할 수 있는 길’이라 말한다. 이 책은 실전에 바로 적용 가능한 단계별 재건축 투자 방법을 통해, 직접 재건축 아파트를 탐색하고 선별한 뒤 투자를 실행하게끔 도와준다. 6개월간의 투자수익률도 분석해 투자의 적정성을 판단해볼 수 있다. 저자가 제시하는 투자 과정과 방향을 잘 따라간다면 초보자도 어렵지 않게 재건축 투자를 할 수 있다. 특히 부록으로 수록된 ‘서울시 소규모주택 정비사업 대상 리스트’는 일반인이 구하기 어려운 자료다.",1,국내도서-경제 경영
59,9791187993957,105104932,부의 체인저 2,"16,200원",900원,김장섭,트러스트북스,"남아 있던 단점까지 극복한 세상에서 가장 완벽한 투자서! 조던 김장섭의 이전 책 『내일의 부』(전2권)는 독자들로부터 열광적인 환호와 큰 사랑을 받았다. 2020년 3월 코로나 위기로 전세계 증시가 폭락세를 연출하면서 독자들의 관심이 증폭되었고, 종합베스트셀러 2위까지 오르는 기염을 토했다. 많은 투자자들이 조던의 ‘-3%룰’ 덕분에 손실을 최소화하고, 위기를 기회로 바꿀 수 있었다. 저자는 이전 책에서 나스닥지수에서 한 달에 -3% 이상의 급락이 4번 이상 나오는 상황을 공황으로 규정하고, 이때 투자자들이 어떻게 대처해야 하는지 다루었다. 바로 2020년 3월 코로나 위기 때 나스닥지수 -3% 이상이 4번 발생하면서 공황에 들어갔고, 책의 출간 시기와 절묘하게 맞아떨어지며, 많은 독자들의 호응과 관심을 받았고, 어려운 상황에서 올바른 대처법을 도움 받을 수 있었다.",1,국내도서-경제 경영
60,9791187799139,89429762,싱글맘 부동산 경매로 홀로서기,"14,400원",800원,이선미/송희창(송사무장),지혜로,"경매는 돈 많은 사람만 할 수 있다는 편견을 버려라! 마이너스 통장으로 경매를 시작한 그녀가, 지금은 80채 부동산의 주인이 되었다. 채널A [서민갑부]에서 많은 시청자들을 감탄하게 한 그녀의 투자 노하우를 모두 공개한다! 베스트셀러 및 스테디셀러가 되어 이미 수많은 독자들을 통해 검증된 그녀의 책이 개정판으로 돌아왔다. 종잣돈이 부족한 경매 초보라면 이 책으로 공부를 시작하길 추천한다. 경매 투자에 꼭 필요한 지식과 어려운 용어를 쉽게 설명했으며, 실제 현장에서 활용하는 방법및 실전 노하우까지 쉽고 재밌게 담아냈다. 현장 조사 방법부터 명도 빨리 하는 법, 수익내는 리모델링 노하우까지 낱낱이 공개한 이 책은 이미 부자가 된 경매 투자자들이 경매 입문서로 강력 추천하는 도서이다.",1,국내도서-경제 경영
61,9791191056990,104408758,리더를 위한 멘탈 수업,"15,750원",870원,윤대현/장은지,인플루엔셜,"대한민국 CEO들이 가장 많이 찾는 두 심리 멘토의 리더십 코칭! KAIST 이광형 총장 강력 추천 “리더들의 멘토가 되어줄 책!” 포스코, 현대자동차그룹, 카카오… 임원들이 먼저 탐독한 화제의 책! “회사 생활의 99%는 멘탈 싸움이다!” 정신과 전문의 윤대현 교수와 리더십 전문가 장은지 대표가 리더십 코칭에 정신의학을 접목한 최고의 솔루션을 전한다 팬데믹 시대, 불확실성 속에서 흔들리지 않고 압도적 성과를 보여주는 리더들이 있다. 이들은 새로운 경영 환경에 유연하게 적응하며 자신만의 성장 곡선을 그려나간다. 평범한 리더들조차 자기 마음을 관리하기 쉽지 않은 상황에서 두려움을 성취로 바꾸는 이들의 대담한 리더십의 비밀은 무엇일까? 20여 년간 실전 컨설팅을 통해 수많은 리더를 자문해온 서울대병원 정신건강의학과 윤대현 교수와 전 맥킨지리더십센터장 장은지 대표는 이 비밀을 ‘마음을 들여다보는 힘’이라 말한다.",1,국내도서-경제 경영
62,9788901253893,104693963,나는 인생의 아주 기본적인 것부터 바꿔보기로 했다,"13,500원",750원,개리 비숍/이지연,갤리온,"“성공, 사랑, 우정, 상실, 두려움, 불안 …… 퀘스트를 깰 때마다 인생의 추월차선이 만들어진다.” 100만 베스트셀러 『시작의 기술』의 후속작 동기부여 천재 개리 비숍이 던지는 지혜의 직격탄! 세상의 잡음을 떨쳐내고 마침내 돌파구를 발견하는 사람들의 비밀 삶이 제대로 굴러가지 않는데 당신의 기분이 좀 나아졌다고 해서 만족하는 일은 절대로 없어야 한다. 그런 걸 보통 ‘정체’라고 부른다. 진부하게 들릴지 몰라도, 당신은 생각하는 것보다 훌륭한 사람이다. 『시작의 기술Unfu*k Yourself』과 『내 인생 구하기Stop Doing That Sh*t』로 전 세계 수많은 독자에게 내면의 부정적인 목소리를 잠재우고 한 걸음 내딛는 법을 알려준 ‘동기부여 천재’ 개리 비숍. 이번에는 더 나은 삶을 쟁취하기 위한 기본적인 미션들에 대한 지혜의 직격탄을 선사한다.",1,국내도서-자기계발
63,9791189328535,104430038,부동산 트렌드 2022,"16,200원",900원,김경민,와이즈맵,"“혼돈의 2022년, 부동산 투자의 성패가 갈린다!” 빅테이터로 예측한 강남구·노도성 아파트 가격부터 꼬마빌딩 수익률 분석과 재개발·재건축의 향방까지! 글로벌 분석 기법으로 추출한 최고의 부동산 투자 전략! 하버드대학교 부동산·도시계획 연구로 박사 학위를 받은 김경민 서울대 교수는, 수많은 부동산 투자자와 실수요자의 든든한 안내자 역할을 해왔다. 《부동산 트렌드 2022》는 현재 대한민국의 주요한 부동산 이슈를 총망라한 결정판이다. 책에 활용된 데이터 분석기법은 저자가 보스턴 소재 상업용 부동산 리서치 기업에서 근무할 때 구축한 모형을 바탕으로 하고 있다. 이 모형은 월스트리트 금융회사와 국부펀드의 투자 의사결정에 쓰이는 글로벌 부동산 가격 예측 분석 틀로, 이번 책에서 한층 발전시킨 형태로 담아냈다. 저자는 막연한 직감과 소문에 의존해 투자하는 식으로는 더 이상 살아남을 수 없다고 말하며 철저한 부동산 시장 분석과 이해의 중요성을 역설한다.",1,국내도서-경제 경영
64,9791168210028,103836941,당신만 몰랐던 부동산 투자,"16,020원",890원,김학렬/김우람,베가북스,"“이 책을 읽기 전에는 절대 부동산에 투자하지 마라!” 대한민국 최고의 입지 전문가 빠숑과 발로 뛰는 임장 전문가 블루999 최초 콜라보! 최신 부동산 트렌드를 이 책 한 권으로 마스터한다! 최고의 부동산 전문가 빠숑의 20년 투자 노하우 대방출! 초심자도 실패하지 않는 탄탄한 기술적 분석을 담은 책! 다양한 부동산 상품에 활용할 수 있는 갭 투자 노하우와 최근 급부각된 투자 트렌드인 극초기구역의 빌라. 여기에 아파트의 대체 가능성으로 떠오른 오피스텔, 아파텔 주거 규제 풍선 효과로 재부각된 지식산업센터, 꼬마빌딩, 토지까지 지금 대한민국에서 투자할 수 있는 모든 것을 담았다! 부동산 투자에 관한 관심이 날로 뜨거워지고 있다. 그동안 시장의 시세는 가파르게 올라갔고, 이런 현상은 더욱 심해지고 있다. 정부의 규제가 생겨나며 투자처는 점점 줄고 있지만, 미래 가치가 확실히 보장된 입지와 투자처는 분명히 존재한다.",1,국내도서-경제 경영
65,9788957821305,90299861,현명한 투자자 1,"20,700원","1,150원",벤저민 그레이엄/이건/신진오,국일증권경제연구소,"가치투자의 아버지 벤저민 그레이엄의 『현명한 투자자』는 1949년 초판 이래 개정2, 3판을 거쳐 1973년에 개정4판을 발행했다. 『현명한 투자자 개정4판』은 벤저민 그레이엄이 살아생전 직접 쓴 마지막 개정판이라는 데 의의가 있다. 2016년에 제이슨 츠바이크의 논평을 추가한 최신 개정판이 발행되었지만 미국 주식시장을 예로 들고 있는 논평이어서 한국 주식시장과 맞지 않는다는 의견이 많았던지라 벤저민 그레이엄이 살아생전 마지막으로 쓴 글을 번역하여 『현명한 투자자 개정4판』을, 그리고 벤저민 그레이엄이 강조한 이론을 한국 주식시장에 적용하여 설명한 『현명한 투자자 해제』와 함께 발행했다. 『현명한 투자자』는 초보 투자자도 건전한 투자 전략을 수립하고 실행할 수 있도록 안내하는 투자서다. 그래서 증권분석 기법은 많이 다루지 않고, 주로 투자 원칙과 투자 태도를 다루고 있다.",1,국내도서-경제 경영
66,9788960518902,103985317,라이프 트렌드 2022,"16,200원",900원,김용섭,부키,국내 최고의 스토리텔링 애뉴얼 리포트 시리즈 〈라이프 트렌드〉의 10주년 판 새로운 일상을 넘어 더 나은 일상을 지향하는 사람들 베터 노멀 시대에 새로운 기회와 돌파구를 찾는 사람들 그들의 숨은 욕망을 포착하다! 2020~2021년은 팬데믹의 해였다. 모든 트렌드의 주도권을 코로나와 팬데믹이 가졌다고 해도 과언이 아닌 시기였다. 아직 다 끝나지 않았지만 2022년은 확실히 다르다. 주도권을 다시 우리가 가져올 때다. 2019년까지 누렸던 익숙한 일상으로의 복귀를 2020~2021년에 외쳐 왔다면 이제는 일상 복귀(Back to Normal)가 아니라 새로운 일상을 외칠 때다. 2022년은 2020~2021년처럼 뉴 노멀(New Normal)에 적응하느라 급급한 때가 아니라 적극적으로 베터 노멀 라이프(Better Normal Life)를 욕망하는 해다.,2,국내도서-경제 경영
67,9791190242899,103712200,부의 시그널,"16,920원",940원,박종훈,베가북스,"“불확실성의 시대, 준비된 자만이 미래를 차지한다” KBS 박종훈 기자의 날카로운 통찰력이 빚어낸 미래 전망서! 거대한 변화 속, 가장 확실한 5가지 부의 시그널을 잡아라! 지금껏 박종훈이 예측한 경제는 전부 들어맞았다. 수많은 베스트셀러를 출간해 대한민국 경제 흐름을 예측했던 그가 이번에는 『부의 시그널』을 통해 불황 이후 찾아올 세계 경제 패러다임 속 5가지 경제 시그널을 주목한다. 이미 유튜브 채널 「박종훈의 경제한방」에서 친절하고 재미있는 설명으로 많은 사람들이 경제에 친근해질 수 있도록 도왔던 저자는 이번 책에서는 더욱더 친절하고 쉬운 설명으로 독자들에게 다가간다. 『부의 시그널』은 돈과 관련한 다양한 역사적 사건과 경제 흐름을 재미있는 일러스트로 담아내 전작들과 차별화를 두었다. 놀라운 혁신은 이미 과거로부터 날아왔다. 우리가 돈의 흐름에 주목해야 하는 이유는 분명하다.",1,국내도서-경제 경영
68,9791187799078,68724647,경매 권리분석 이렇게 쉬웠어?,"16,200원",900원,박희철(파이팅팔콘)/송희창(송사무장),지혜로,"권리분석이 어렵다고?? 실전 투자자가 알려주는 가장 쉽고, 가장 체계적인 초간단 권리분석법! 이제 초보도 권리분석을 쉽게 정복하고, 쉽게 수익낼 수 있다. 대부분의 초보들이 권리분석 공부가 어려워 경매 투자를 중도 포기하는데, 그것은 권리분석이 어려워서가 아니라 어렵게 공부하기 때문이다. 책의 저자는 그동안 자신이 직접 투자했던 물건을 바탕으로, 실수하지 않고 쉽게 권리분석하는 방법과 쉬운 물건만으로도 부를 쌓은 자신의 노하우를 진하게 담아냈다. 경매 투자로 성공하려면 공부단계에서 멈추지 않고 첫 수익을 맛봐야만 한다. 실제 수익을 경험하기 위해서 공부는 쉽고 재밌게 해야 하는 것이다. 이 책을 정복한다면 당신은 고수익의 경매 투자의 길로 나아갈 수 있다.",1,국내도서-경제 경영
69,9788925588902,98831374,"아들아, 돈 공부해야 한다","14,220원",790원,정선용,알에이치코리아(RHK),"“직원으로 시작해라. 그러나 직원으로 살지 마라” 151만 ‘부동산 스터디’ 카페가 열광한 화제의 칼럼 151만 ‘부동산 스터디’ 카페가 애타게 기다린 『아들아, 돈 공부해야 한다』가 출간되었다. 『아들아, 돈 공부해야 한다』는 50억 자산가 아버지가 자녀에게 경제의 기본 원리와 부의 노하우를 전하는 책이다. 저자는 25년간 유통업계에 종사하며 롯데마트 가정간편식 부문장(상무) 등을 지냈다. 대한민국 대형마트의 태동과 성장, 침체의 역사를 함께하며, 실생활의 경제 원리를 깨우쳤다. 자본주의의 최첨단에서 유통의 역사를 새로이 써 온 저자는, 근로 소득만으로는 점점 더 가난해지는 현실에 눈을 뜨고, 근로 소득을 자본 소득으로 전환해 50억 자산가가 되었다. 저자는 살아있는 현실 경제 이야기를 전하고자, 2020년 10월부터 네이버 카페 ‘부동산 스터디’에 ‘아들아 경제 공부해야 한다’ 시리즈를 연재했다.",2,국내도서-경제 경영
70,9791170432593,104646163,미래의 부를 위한 부동산 투자 1만 시간의 법칙,"14,400원",800원,추동훈,원앤원북스,"청약 가점이 낮아도, 운이 없어도 내 집 마련에 성공하는 방법은 따로 있다! 바야흐로 ‘부동산’의 시대다. 정치, 경제, 사회, 문화 할 것 없이 부동산을 빼놓고는 할 이야기가 없을 정도다. 실제로 열심히 월급을 받아 차곡차곡 저축한 사람은 부동산에 투자한 사람에 비해 상대적으로 거지가 되었다며 ‘벼락거지’란 신조어까지 만들어졌다. 수년간 가파른 상승 곡선을 그린 부동산 시장에 대한 우려의 목소리가 커지고 있지만 부동산 전문가들은 하나같이 시장의 등락과 무관하게 ‘내 집 한 채’는 반드시 있어야 한다고 강조한다. 주거 불안이 해소되었다는 안정감과 집값 변동에 일희일비하지 않는 것만으로도 절대 손해가 아니기 때문이다. 집값이 오르면 오르는 대로 기분 좋고, 내리면 내리는 대로 여기서 오래오래 행복하게 살면 된다는 마음가짐을 가지면 충분하니까 말이다.",1,국내도서-경제 경영
71,9788947547567,103990890,제로 투 원 리커버 에디션,"14,400원",800원,피터 틸/블레이크 매스터스/이지연,한국경제신문사(한경비피),"아마존 · 뉴욕타임스 베스트셀러 1위 전 세계 CEO와 창업가들이 극찬한 21세기 새로운 경영서! 영국·독일·네덜란드·일본·대만 등 전 세계 베스트셀러 1위 CBS·뉴욕타임스·이코노미스트·파이낸셜타임스·데일리텔레그래프… 출간 즉시 돌풍을 일으키고 주요 언론이 주목한 세계적인 베스트셀러! 『제로 투 원』은 성공한 창업자 피터 틸이 새로운 것을 창조하는 회사를 만들고, 미래의 흐름을 읽어 성공하는 법에 대해 말하는 책이다. 0에서 1이 되는 것은 ‘새로운 것을 창조하는 것’을 말한다. 뭔가 새로운 것을 만들면 세상은 0에서 1이 되며, 새로운 것을 창조하는 회사를 만들어야 성공할 수 있다. 성공한 기업과 사람들은 아무도 생각하지 못한 곳에서 새로운 가치를 찾아낸다. 기존의 모범 사례를 따라하고 점진적으로 발전해 봤자 세상은 1에서 n으로 익숙한 것이 하나 더 늘어날 뿐이다. 그는 경쟁의 함정에 빠지지 말고, 독점기업이 되어야한다고 주장한다.",1,국내도서-경제 경영
72,9791130637037,99184511,왜 일하는가,"14,400원",800원,이나모리 가즈오/김윤경,다산북스,"삼성이 10년간 신입사원들에게 추천한 단 한 권의 책! 오늘도 습관처럼 출근하는 당신에게 묻는다 “당신은 어떤 일을 하는가? 그 일을 통해 무엇이 되려 하는가?” 일이라는 화두만으로 아무런 홍보도 없이 수십만 부가 팔린 책이 있다. 2010년 처음 국내에 소개된 이 책은 출간되자마자 우아한형제들 김봉진 의장, LS그룹 구자열 회장 등에 의해 ‘인생 책’이라는 별명이 붙었으며, 유명 CEO들이 사비를 들여 책을 구입해 임직원들에게 선물한다는 소문까지 돌았다. 삼성그룹 계열사의 어느 대표는 10년째 이 책을 신입사원들에게 추천하기도 했다.",1,국내도서-경제 경영
73,9788925579313,104427752,요즘 애들,"16,200원",900원,앤 헬렌 피터슨/박다솜,알에이치코리아(RHK),"“평생 트랙 위를 쉼 없이 달려왔지만 우리는 늘 게으르고, 부족하고, 이기적인 애들이었다.” * 아마존 ‘최고의 논픽션’, [하퍼스 바자] ‘올해의 책’ 선정! * [뉴욕 타임스], [퍼블리셔스 위클리], [에스콰이어] 추천! * 『90년생이 온다』 작가 임홍택, 『아무튼 예능』 작가 복길, 『젊은 ADHD의 슬픔』 작가 정지음, 『사랑의 은어』 작가 서한나 추천! 부모처럼 살기 싫지만 부모만큼 되기도 어려운 세대, 밀레니얼Millennial. 그들은 ‘이번 생은 망했다’면서도 탈진 직전까지 일에 몰두하고, 필패하도록 설계된 체제에서 ‘졌지만 잘 싸웠다’며 자조한다. 밀레니얼 세대에게 ‘번아웃Burnout’은 신드롬이 아니다. 무기력과 불안정은 그들 삶 전반에 깔린 배경음악이자, 그들이 평생을 지내며 살아온 온도다.",1,국내도서-사회 정치
74,9791187799023,38002304,송사무장의 부동산 경매의 기술,"14,400원",800원,송희창(송사무장),지혜로,"대한민국 최고의 경매 고수 송사무장이 알려주는 앞으로 10년은 유용하게 써먹을 경매의 기술! 실전에서 수익을 내고 있는 경매 고수에게 배워야 돈을 벌 수 있다!! 제자들을 2~3년 만에 월세 부자, 부동산 부자로 만든 경·공매분야 최고의 고수 송사무장이 알려주는 경매 투자에서 수익 내는 진짜 비법이 고스란히 담겨있는 책으로, 경매 초보에서 중수, 고수에 이르기까지 경매인이라면 누구나 볼 수 있고 배울 수 있는 최고의 지침서이다. 17만 명이 넘는 네티즌들이 인정한 경매분야 최고의 베스트셀러이자 스테디셀러이며, 경매의 바이블이라는 칭호가 전혀 무색하지 않다.",1,국내도서-경제 경영
75,9791190977326,102644993,[예스리커버] 강방천&존리와 함께하는 나의 첫 주식 교과서,"14,850원",820원,강방천/존리,페이지2,"대한민국 주식투자의 살아 있는 전설, 강방천&존리의 첫 합동 프로젝트 투자의 시대, 평생 가져가야 할 투자 원칙 “지금 당장 돈과 투자에 관한 공부를 시작하자!” 이제 사람들에게 주식투자는 선택이 아닌 필수가 되었다. 사람들의 높은 관심을 반영하듯 매일매일 고수의 투자 기술이 책과 매체를 통해 쏟아지지만 왜 여전히 사람들은 손실을 보고, 투자를 후회하는 것일까? 제대로 된 투자 철학이 선행되지 않는다면 기술은 사람들을 혼란스럽게 만들 뿐 절대 수익이라는 달콤한 열매를 가져다주지 않는다. 이 책은 이제 막 투자를 시작하는 사람들, 투자하고 있지만 확신이 없는 개인 투자자를 위한 ‘첫 주식투자 교과서’이다.",1,국내도서-경제 경영
76,9788959893560,20888729,실전 투자강의,"10,800원",600원,앙드레 코스톨라니,미래의창,"“나는 오랜 경험을 통해 투자와 시장에 대한 대답을 찾아냈다. 이제 내게 필요한 것은 그 대답에 대한 질문뿐이다.” 그는 실천에서 이론으로 간, 그리고 자신의 돈으로 투자하면서 경험을 쌓은 증권 교수였다. 이론에서 실천으로 간, 그리고 다른 사람의 돈으로 투자하면서 경험을 쌓은 증권 교수들과는 완전히 달랐다. 이 책 덕분에 코스톨라니는 요점 없는 질문에 힘들여 대답할 필요가 없게 되었다. 이제 정중하게 질문을 끊으며 이렇게 얘기하기만 하면 된다. “그러십니까? 그렇다면 제 책을 읽어 보십시오. 분명 여러분의 질문에 대한 답을 찾으실 것입니다. 또 이제까지 여러분이 생각하지 못했던 문제에 대해서도 답을 찾으실 수 있을 것입니다.",1,국내도서-경제 경영
77,9788950997663,104647886,"세상 편하게 부자되는 법, ETF","15,300원",850원,"이승원,임종욱,안상혁,두지영 저",21세기북스,"주식이 처음이면 이것부터 시작합시다! 소액으로, 적게 신경 쓰고, 많이 벌고 싶다면? 세상 쉽고 마음 편한 ETF로 투자하자! 실전 필드에서 다져진 투자 인사이트와 친절한 설명으로 출연만으로 유튜브 누적 조회수 150만 회를 기록한 이승원 미래에셋자산운용 본부장이 업계 고수들과 함께 ‘ETF로 주식보다 쉽게 부자되는 법’을 탄탄한 지식, 최신 사례들과 함께 공개하고자 한다. ETF 개념정복, 한 번에 투자력이 상승하는 ETF 지식, 고성장·고수익에 집중하는 ‘테마 투자’ 전략, 투자자들이 놓치기 쉬운 6가지 등 투자 초보자도 이해하는 ETF의 모든 것을 이 책 《세상 편하게 부자되는 법, ETF》 속에 담아냈다. 복잡한 투자의 세계에서 쉽고 편안하게 수익을 내고 싶은 모든 사람들에게 투자의 성공 확률을 높여줄 완벽한 가이드가 되어줄 것이다.",1,국내도서-자기계발
78,9791190977371,103539075,시대의 1등주를 찾아라,"14,400원",800원,이한영,페이지2,"수익률 10배, ‘텐 배거’는 언제나 시대의 1등주에서 탄생한다 미래 수익률을 뒤바꿀 ‘넥스트 빅 사이클’에 투자하는 법 ‘2년 연속 수익률 1위’ ‘올해의 펀드매니저’ ‘업계 최초 펀드상&매니저상 동시 석권’ 등 듣기만 해도 어마어마한 타이틀들은 이한영 저자를 소개할 때 붙는 수식 어구다. ‘1등 펀드매니저’는 이와 같은 수식어를 총합한, 이한영 저자를 가장 잘 표현하는 단어다. 전교 1등의 공부법을 따라 공부하듯, 대한민국 1등 펀드매니저의 투자법을 따라 투자할 수 있다면 얼마나 좋을까? 『시대의 1등주를 찾아라』는 저자가 신입사원 시절부터 지금의 자리에 오르기까지 17년간 한결같이 고수하는 공부법이자 투자법을 정리한 책으로, 돈의 흐름을 공부하고 돈이 몰리는 산업의 ‘1등 주식’에 투자하는 방법을 매우 친절하게 알려준다.",2,국내도서-경제 경영
79,9791187383659,102347818,주식 농부처럼 투자하라,"15,300원",850원,박영옥(주식농부),프레너미,"주식농부 박영옥의 농심 투자와 투자 인생 이야기 『주식 농부처럼 투자하라』는 한국의 워런 버핏이라고 불리는 대표적 가치투자자 주식농부 박영옥의 30년 투자 철학과 인생 이야기를 담고 있다. 일할 수 있는 기간은 짧아지고 노후는 길어진 현재 상황에서, 왜 주식투자를 해야 하는지, 어떻게 해야 하는지를 말해준다. 성공적으로 주식투자 하는 방법, 불안함 없이 마음 편히 하는 투자법을 알려주는 것이 이 책의 주 목적이다. 저자가 생각하는 주식투자는 농사와 같다. 농부처럼 부지런하고 우직하게 투자하면 누구나 풍성한 수확을 얻을 수 있다고 믿는 저자는 독자들이 책을 읽고 농부의 마음으로 공부하고, 농부의 마음으로 주식투자 하기를 바란다. 저자는 농부가 농작물에 애정을 가지고 땅을 소중히 여기듯, 기업을 소중하게 생각하고 동행하면서 소통하면 누구나 주식 부농이 될 수 있다고 말한다.",1,국내도서-경제 경영
80,9791197603600,104128252,위드 코로나 2022년 경제전망,"16,200원",900원,김광석,지식노마드,"“불균형 회복 시나리오가 예상되는 2022년, 상황별 유연한 대응으로 기회를 포착하라!” 위드 코로나 시대, 반드시 알아야 할 최신 경제 트렌드 ‘위드 코로나’가 자리 잡고 단계적 일상 회복이 예상되는 2022년의 경제는 ‘회귀점Point of Turning Back’에 진입할 것이다. 모든 지표는 회복 국면에 접어들고 완화적 통화정책은 멈춰질 전망이다. 하지만 선진국과 개도국 간 불균형 회복 시나리오가 예측되는 가운데 세계 경제는 또다시 새로운 변화에 놓여 있다. 국내 경제도 마찬가지다. 양극화로 치닫게 된 계층 간 회복은 ‘K자형 회복’으로 불리며 또 다른 쟁점을 암시한다. 2022년 반드시 알아야 할 주요한 경제 이슈는 이뿐만이 아니다.",1,국내도서-경제 경영
